Long;Lat;Commune;group;order
3.6344818181818184;5.355318181818181;LAGUNE EBRIE;11;1112
3.6311454545454547;5.357172727272728;LAGUNE EBRIE;11;1113
3.628927272727273;5.359390909090909;LAGUNE EBRIE;11;1114
3.6293;5.355690909090909;LAGUNE EBRIE;11;1115
3.6352272727272728;5.353463636363636;LAGUNE EBRIE;11;1116
3.6389272727272726;5.350872727272727;LAGUNE EBRIE;11;1117
3.636709090909091;5.349018181818182;LAGUNE EBRIE;11;1118
3.6348545454545453;5.349018181818182;LAGUNE EBRIE;11;1119
3.630781818181818;5.3468;LAGUNE EBRIE;11;1120
3.628927272727273;5.346054545454545;LAGUNE EBRIE;11;1121
3.6267;5.344572727272728;LAGUNE EBRIE;11;1122
3.6241090909090907;5.3442;LAGUNE EBRIE;11;1123
3.621518181818182;5.344572727272728;LAGUNE EBRIE;11;1124
3.618181818181818;5.346427272727273;LAGUNE EBRIE;11;1125
3.6174909090909093;5.343554545454546;LAGUNE EBRIE;11;1126
3.6147545454545456;5.345972727272727;LAGUNE EBRIE;11;1127
3.612881818181818;5.348063636363636;LAGUNE EBRIE;11;1128
3.6124454545454547;5.351463636363636;LAGUNE EBRIE;11;1129
3.6124454545454547;5.353436363636364;LAGUNE EBRIE;11;1130
3.6123363636363637;5.356509090909091;LAGUNE EBRIE;11;1131
3.6115636363636363;5.358272727272727;LAGUNE EBRIE;11;1132
3.6118727272727273;5.3629;LAGUNE EBRIE;11;1133
3.6086272727272726;5.360263636363636;LAGUNE EBRIE;11;1134
3.6071;5.3574909090909095;LAGUNE EBRIE;11;1135
3.6066818181818183;5.356227272727272;LAGUNE EBRIE;11;1136
3.6038272727272727;5.3583727272727275;LAGUNE EBRIE;11;1137
3.6027636363636364;5.357181818181818;LAGUNE EBRIE;11;1138
3.6077636363636363;5.352181818181818;LAGUNE EBRIE;11;1139
3.6107454545454547;5.349572727272728;LAGUNE EBRIE;11;1140
3.610190909090909;5.347572727272727;LAGUNE EBRIE;11;1141
3.610072727272727;5.346481818181818;LAGUNE EBRIE;11;1142
3.6103;5.344690909090909;LAGUNE EBRIE;11;1143
3.610390909090909;5.344;LAGUNE EBRIE;11;1144
3.6087363636363636;5.342018181818182;LAGUNE EBRIE;11;1145
3.6071;5.3423181818181815;LAGUNE EBRIE;11;1146
3.6062454545454545;5.342636363636363;LAGUNE EBRIE;11;1147
3.6055727272727274;5.342890909090909;LAGUNE EBRIE;11;1148
3.6037181818181816;5.341036363636364;LAGUNE EBRIE;11;1149
3.5991181818181817;5.341036363636364;LAGUNE EBRIE;11;1150
3.5952;5.342890909090909;LAGUNE EBRIE;11;1151
3.5944545454545453;5.340663636363637;LAGUNE EBRIE;11;1152
3.5922363636363634;5.339927272727273;LAGUNE EBRIE;11;1153
3.588318181818182;5.339118181818182;LAGUNE EBRIE;11;1154
3.584081818181818;5.338818181818182;LAGUNE EBRIE;11;1155
3.5803727272727275;5.341036363636364;LAGUNE EBRIE;11;1156
3.5756636363636365;5.3419727272727275;LAGUNE EBRIE;11;1157
3.5729636363636366;5.342145454545455;LAGUNE EBRIE;11;1158
3.5733363636363635;5.345109090909091;LAGUNE EBRIE;11;1159
3.5704727272727275;5.3489272727272725;LAGUNE EBRIE;11;1160
3.5696363636363637;5.349554545454546;LAGUNE EBRIE;11;1161
3.565190909090909;5.347709090909091;LAGUNE EBRIE;11;1162
3.564909090909091;5.346745454545455;LAGUNE EBRIE;11;1163
3.5644454545454547;5.345109090909091;LAGUNE EBRIE;11;1164
3.5566636363636364;5.345854545454546;LAGUNE EBRIE;11;1165
3.5566636363636364;5.344745454545454;LAGUNE EBRIE;11;1166
3.552590909090909;5.342518181818182;LAGUNE EBRIE;11;1167
3.551018181818182;5.346027272727273;LAGUNE EBRIE;11;1168
3.5497545454545456;5.350872727272727;LAGUNE EBRIE;11;1169
3.5503636363636364;5.3536363636363635;LAGUNE EBRIE;11;1170
3.5492545454545454;5.354745454545455;LAGUNE EBRIE;11;1171
3.5481454545454545;5.3536363636363635;LAGUNE EBRIE;11;1172
3.547772727272727;5.349190909090909;LAGUNE EBRIE;11;1173
3.545181818181818;5.346590909090909;LAGUNE EBRIE;11;1174
3.5429545454545455;5.344;LAGUNE EBRIE;11;1175
3.541472727272727;5.342518181818182;LAGUNE EBRIE;11;1176
3.5380818181818183;5.341636363636364;LAGUNE EBRIE;11;1177
3.5335454545454548;5.342145454545455;LAGUNE EBRIE;11;1178
3.529809090909091;5.343818181818182;LAGUNE EBRIE;11;1179
3.5262818181818183;5.347336363636364;LAGUNE EBRIE;11;1180
3.524390909090909;5.349981818181818;LAGUNE EBRIE;11;1181
3.522581818181818;5.352518181818182;LAGUNE EBRIE;11;1182
3.5240636363636364;5.3554818181818185;LAGUNE EBRIE;11;1183
3.5211;5.355118181818182;LAGUNE EBRIE;11;1184
3.5207272727272727;5.356963636363636;LAGUNE EBRIE;11;1185
3.5211;5.361418181818181;LAGUNE EBRIE;11;1186
3.520436363636364;5.361745454545455;LAGUNE EBRIE;11;1187
3.5187181818181816;5.3562;LAGUNE EBRIE;11;1188
3.5188727272727274;5.351063636363636;LAGUNE EBRIE;11;1189
3.5203363636363636;5.346818181818182;LAGUNE EBRIE;11;1190
3.5252636363636363;5.3417;LAGUNE EBRIE;11;1191
3.5252090909090907;5.3376090909090905;LAGUNE EBRIE;11;1192
3.5201545454545453;5.333990909090909;LAGUNE EBRIE;11;1193
3.515;5.333;LAGUNE EBRIE;11;1194
3.510390909090909;5.336072727272727;LAGUNE EBRIE;11;1195
3.5065454545454546;5.340463636363636;LAGUNE EBRIE;11;1196
3.5072;5.345736363636363;LAGUNE EBRIE;11;1197
3.5054454545454545;5.348254545454545;LAGUNE EBRIE;11;1198
3.5034727272727273;5.354409090909091;LAGUNE EBRIE;11;1199
3.504681818181818;5.356481818181818;LAGUNE EBRIE;11;1200
3.4949636363636363;5.3662;LAGUNE EBRIE;11;1201
3.4931545454545456;5.369990909090909;LAGUNE EBRIE;11;1202
3.493981818181818;5.3742636363636365;LAGUNE EBRIE;11;1203
3.4931545454545456;5.379863636363637;LAGUNE EBRIE;11;1204
3.4893727272727273;5.383981818181818;LAGUNE EBRIE;11;1205
3.4888090909090907;5.376036363636364;LAGUNE EBRIE;11;1206
